identifiant,obs,depenses_totales_2016,depenses_totales_2017,achats_combustibles_16,achats_gaz_16,achats_chauffage_16,achats_carburants_16,depenses_totales_achats_16,achats_combustibles_17,achats_gaz_17,achats_chauffage_17,achats_carburants_17,depenses_totales_achats_17,elu_charge_energie,personne_charge_energie,frequence_conso,temps_consacre_energie,statut,service_rattachement,autre_service_rattachement,realisation_batiment_rai,isolation_parois_rai,remplacement_ouvrants_rai,renovation_chaufferies_rai,regulation_energie_rai,telegestion_chaufferies_rai,miseenplace_eclairage_rai,amelioration_eclairage_public,releve_surfaces,tableau_de_bord,info_suivi_conso,optimisation_tarifs,amelioration_contrats,audit_energetique,sensibilisation,realisation_batiment_pai,isolation_parois_pai,remplacement_ouvrants_pai,renovation_chaufferies_pai,regulation_energie_pai,telegestion_chaufferies_pai,miseenplace_eclairage_pai,projection_amelioration_eclairag,projection_releve_surfaces,projection_tableau_de_bord,projection_info_suivi_conso,proj_optimisation_tarifs,proj_amelioration_contrats,proj_audit_energetique,proj_sensibilisation,organisme_tiers,type_organisme,autre_organisme,conso_fuel_domestique,depenses_fuel_domestique,conso_fuel_lourd,depenses_fuel_lourd,conso_gaz_naturel,depenses_gaz_naturel,conso_charbon,depenses_charbon,conso_butane,depenses_butane,conso_bois,depenses_bois,conso_rdc,depenses_rdc,conso_electricite,depenses_electricite,conso_eclairage_public,depenses_eclairage_public,depenses_carburant,depenses_totales,garantie_electricite,garantie_quantite,proportion_elec_renouvelable,gaz_achete,part_gaz_renouvable,longueur_voies_17,points_lampes_sodium,points_lampes_vapeur,points_LED,points_lampes_halogenures,points_lampes_solaires,points_autres_lampes,total_point_lumineux_17,puissance_elec_totale,part_extinction_nocturne,heures_parc_eteint,part_gradation_intensite
19,204,130700,130500,0,195000,0,125000,320000,0,225000,0,146000,371000,"Oui, sans délégation explicite","Oui, un agent de votre [Q1Voustes]",Mensuelle,Moins de 50%,Ingénieur (cadre A),Direction des services techniques,,Pas réalisé jusqu'à présent,Réalisé en partie seulement,Réalisé en partie seulement,Réalisé en partie seulement,Pas réalisé jusqu'à présent,Pas réalisé jusqu'à présent,Réalisé en partie seulement,,Réalisé pour l'essentiel,Réalisé pour l'essentiel,Réalisé pour l'essentiel,Réalisé pour l'essentiel,Réalisé pour l'essentiel,Réalisé en partie seulement,Réalisé en partie seulement,Oui,Oui,Oui,Oui,Oui,Oui,Oui,,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Non,,,0,0,0,0,1850,85000,0,0,0,0,0,0,0,0,2000,290000,490,59954,146000,580954,"Oui, en partie",6,1,Non,,24,782,9,96,10,0,29,926,119,0,,0
20,1135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
21,192,5696.9,5211.5,18.9,34.2,6,13.9,73,18.9,25.6,11,16.3,71.8,"Oui, avec une délégation explicite","Oui, un agent de votre [Q1Voustes]",Mensuelle,100%,Technicien (cadre B),Direction générale des services,,Réalisé en partie seulement,Réalisé en partie seulement,Réalisé en partie seulement,Réalisé en partie seulement,Réalisé en partie seulement,Pas réalisé jusqu'à présent,Réalisé en partie seulement,Pas réalisé jusqu'à présent,Réalisé pour l'essentiel,Réalisé pour l'essentiel,Réalisé pour l'essentiel,Réalisé pour l'essentiel,Pas réalisé jusqu'à présent,Réalisé en partie seulement,Réalisé en partie seulement,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Non,Non,Non,Non,Non,Non,Oui,Non,,,9.5,7,0,0,63,3.2,0,0,0,0,150.5,8.3,79.6,11,172.5,31.3,19.3,2.8,16.3,79.9,Non,,,Non,,0.7,34,,,,,,34,4.5,0,,0
22,1349,,,,,,,,,,,,,,,,,,,,,,,,,,,Pas réalisé jusqu'à présent,,,,,,,,,,,,,,,Non,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,,0
23,2948,,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
24,1546,12448898.9,13119207,0,82533.1,0,234025.4,316558.5,0,85555.3,0,270062.8,355618.1,Non,Non,,,,,,Réalisé pour l'essentiel,Réalisé pour l'essentiel,Réalisé pour l'essentiel,Réalisé pour l'essentiel,Réalisé en partie seulement,,Réalisé pour l'essentiel,Réalisé en partie seulement,Réalisé en partie seulement,Pas réalisé jusqu'à présent,Pas réalisé jusqu'à présent,Pas réalisé jusqu'à présent,Pas réalisé jusqu'à présent,Réalisé en partie seulement,Pas réalisé jusqu'à présent,Oui,Oui,Non,Non,Non,Non,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Un autre organisme,CEP - FDE62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
25,913,74.9,114.5,24.4,74.9,0,0,99.3,41.8,114.5,0,0,156.3,"Oui, sans délégation explicite","Oui, confié à un Conseil en Energie Partagée (CEP) ou à une personne en dehors de la collectivité (intercommunalité, ALE, PNR, Syndicat, etc.)",,,,,,Pas réalisé jusqu'à présent,Pas réalisé jusqu'à présent,Pas réalisé jusqu'à présent,Pas réalisé jusqu'à présent,Réalisé en partie seulement,Pas réalisé jusqu'à présent,Réalisé pour l'essentiel,,Réalisé en partie seulement,Réalisé en partie seulement,Réalisé en partie seulement,Réalisé en partie seulement,Pas réalisé jusqu'à présent,Réalisé pour l'essentiel,Réalisé en partie seulement,Non,Oui,Oui,Non,Oui,Non,Oui,,Non,Oui,Oui,Oui,Non,Non,Oui,Non,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,460,81.8,0,32.7,41.8,123.6,Non,,,,,,,,,,,,,,,,
26,1243,,,,,,,,,,,,,,,,,,,,,,,,,,,Réalisé en partie seulement,,,,,,,,,,,,,,,Oui,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
27,2299,23,24,344,11,0,0,355,395,118,0,0,513,Non,Non,,,,,,Pas réalisé jusqu'à présent,Pas réalisé jusqu'à présent,Réalisé en partie seulement,Réalisé en partie seulement,Pas réalisé jusqu'à présent,Pas réalisé jusqu'à présent,Réalisé en partie seulement,Pas réalisé jusqu'à présent,Réalisé pour l'essentiel,Réalisé pour l'essentiel,Réalisé pour l'essentiel,Réalisé pour l'essentiel,Pas réalisé jusqu'à présent,Pas réalisé jusqu'à présent,Réalisé en partie seulement,Non,,Oui,Non,Non,Non,Non,Oui,Oui,Oui,Oui,Non,Non,Non,Oui,Non,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Non,,,,,5,200,0,0,0,0,0,200,30,0,,7
28,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
29,1917,,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,,,,
30,501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
31,719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
32,1657,8700,11700,0,46.3,0,0.7,47,0,85.4,0,3.5,88.9,Non,"Oui, un agent de votre [Q1Voustes]",Annuelle,Moins de 50%,Technicien (cadre B),Autre,Aménagement du territoire,Pas réalisé jusqu'à présent,Pas réalisé jusqu'à présent,Pas réalisé jusqu'à présent,Réalisé pour l'essentiel,Pas réalisé jusqu'à présent,Pas réalisé jusqu'à présent,Réalisé pour l'essentiel,Réalisé en partie seulement,Réalisé pour l'essentiel,Pas réalisé jusqu'à présent,Réalisé en partie seulement,Réalisé en partie seulement,Pas réalisé jusqu'à présent,Réalisé pour l'essentiel,Réalisé en partie seulement,Non,Non,Non,Oui,Non,Non,Oui,Oui,Non,Oui,Oui,Oui,Oui,Oui,Oui,Non,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
33,2330,14220000,14208000,0,191138,0,73400,264538,0,184000,0,84000,268000,Non,Non,,,,,,Pas réalisé jusqu'à présent,Pas réalisé jusqu'à présent,Pas réalisé jusqu'à présent,Pas réalisé jusqu'à présent,Pas réalisé jusqu'à présent,Pas réalisé jusqu'à présent,Réalisé en partie seulement,,Réalisé en partie seulement,Réalisé en partie seulement,Pas réalisé jusqu'à présent,Réalisé pour l'essentiel,Pas réalisé jusqu'à présent,Réalisé en partie seulement,Pas réalisé jusqu'à présent,Non,Non,Non,Oui,Non,Oui,Oui,,,Oui,Oui,Oui,Non,Non,Oui,Oui,Une Agence Locale de l’Energie,,0,0,0,0,1123,21,0,0,0,0,0,0,0,0,1800,163,0,0,84,268,Non,,,Non,,,,,,,,,,,,,
34,421,0,0,89851,2113253.9,967363,89851,3260318.9,91.2242,2518.2853,1329.1083,91.2242,40298420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
35,1661,119673,115364,0.4,1153,65,702.1,1920.5,0.3,1055,63,813.5,1931.8,"Oui, avec une délégation explicite",Non,,,,,,Pas réalisé jusqu'à présent,Pas réalisé jusqu'à présent,Pas réalisé jusqu'à présent,Réalisé en partie seulement,Réalisé en partie seulement,Réalisé en partie seulement,Réalisé en partie seulement,,Réalisé en partie seulement,Réalisé en partie seulement,Réalisé en partie seulement,Réalisé pour l'essentiel,Réalisé en partie seulement,Pas réalisé jusqu'à présent,Réalisé en partie seulement,Non,Non,Non,Oui,Oui,Oui,Oui,,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Non,,,0,0,0,0,1007,51.2,0,0,0,0,0,0,0,0,0,0,0,0,813.5,864.7,,,,Non,,,,,,,,,0,,,,
36,1675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
37,729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
38,604,590698384,602857501.9,0,6843948,0,4429694,11273642,0,6824000,72000,3870694,10766694,"Oui, avec une délégation explicite","Oui, un agent de votre [Q1Voustes]",Semestrielle/trimestrielle,75%,Technicien (cadre B),Autre,Direction des Bâtiments,,,,Réalisé en partie seulement,Réalisé en partie seulement,Réalisé en partie seulement,,Réalisé en partie seulement,Réalisé en partie seulement,Réalisé pour l'essentiel,Réalisé pour l'essentiel,Réalisé pour l'essentiel,Réalisé pour l'essentiel,Réalisé en partie seulement,,,,,Oui,Oui,Oui,,Oui,,Oui,Oui,Oui,,,,Non,,,0,0,0,0,138,9400,0,0,0,0,0,0,0,0,6954,1038,0,0,0,1047.4,"Oui, en partie",200,100,Non,,,,,,,,,0,5100,,,
39,439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
40,573,,,,,,,,,,,,,,,,,,,,,,,,,,,Pas réalisé jusqu'à présent,,,,,,,,,,,,,,,Non,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,,,,
41,1323,215289.8,276770.3,0,3659.2,0,0,3659.2,0,3700.8,0,0,3700.8,Non,Non,,,,,,Pas réalisé jusqu'à présent,Pas réalisé jusqu'à présent,Pas réalisé jusqu'à présent,Pas réalisé jusqu'à présent,Pas réalisé jusqu'à présent,Pas réalisé jusqu'à présent,Pas réalisé jusqu'à présent,,Pas réalisé jusqu'à présent,Pas réalisé jusqu'à présent,Pas réalisé jusqu'à présent,Pas réalisé jusqu'à présent,Pas réalisé jusqu'à présent,Pas réalisé jusqu'à présent,Pas réalisé jusqu'à présent,Non,Non,Non,Non,Non,Non,Non,,Non,Non,Non,Non,Non,Non,Non,Non,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22243,3700.8,0,0,0,3700.8,Non,,,,,,,,,,,,,,,,
42,2679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
43,478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
44,717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
45,2569,,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
46,3011,,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,,,,
47,1460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
48,373,69,79,0,29.3,0,40.3,69.6,0,33.5,0,46.3,79.8,Non,Non,,,,,,Réalisé pour l'essentiel,Pas réalisé jusqu'à présent,Réalisé pour l'essentiel,Réalisé pour l'essentiel,Réalisé pour l'essentiel,Pas réalisé jusqu'à présent,Réalisé en partie seulement,,Réalisé pour l'essentiel,Réalisé en partie seulement,Réalisé en partie seulement,Réalisé pour l'essentiel,Pas réalisé jusqu'à présent,Réalisé en partie seulement,Réalisé en partie seulement,Non,Non,Oui,Oui,Oui,Non,Oui,,Non,Oui,Oui,Oui,Non,Non,Oui,Non,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,29.3,0,10.2,40.3,69.6,"Oui, en totalité",,100,,,,,,,,,,,,,,
49,2542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
50,1923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
51,1874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
52,2508,17358,19393.4,0,343001,148825,83242,575068,0,419465,130026,115136,664627,Non,"Oui, un agent de votre [Q1Voustes]",Mensuelle,75%,Agent administratif,Direction des services techniques,,Réalisé en partie seulement,Réalisé en partie seulement,Réalisé en partie seulement,Réalisé en partie seulement,Réalisé en partie seulement,Réalisé en partie seulement,Réalisé en partie seulement,Réalisé en partie seulement,Réalisé pour l'essentiel,Réalisé en partie seulement,Réalisé en partie seulement,Réalisé en partie seulement,Pas réalisé jusqu'à présent,Réalisé en partie seulement,Pas réalisé jusqu'à présent,Non,Oui,Oui,Non,Oui,Oui,Oui,Oui,Non,Oui,Oui,Oui,Oui,Oui,Oui,Non,,,0,0,0,0,5021,234729,0,0,0,0,546807,130026,0,0,1193.7,179725,274.1,34075,115136,693691,Non,,,Non,,10,300,,,,,,300,80,0,,0
53,2800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
54,220,1,1,1,1,1,1,4,1,1,1,1,4,"Oui, sans délégation explicite","Oui, confié à un Conseil en Energie Partagée (CEP) ou à une personne en dehors de la collectivité (intercommunalité, ALE, PNR, Syndicat, etc.)",,,,,,Réalisé en partie seulement,Réalisé en partie seulement,Réalisé en partie seulement,Réalisé en partie seulement,Réalisé en partie seulement,Réalisé en partie seulement,Réalisé en partie seulement,Réalisé en partie seulement,Réalisé pour l'essentiel,Réalisé pour l'essentiel,Réalisé pour l'essentiel,Réalisé pour l'essentiel,Réalisé en partie seulement,Réalisé en partie seulement,Réalisé en partie seulement,Non,Oui,Oui,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,Oui,Oui,Oui,Non,,,0,0,0,0,96.172,5.856607162,0,0,0,0,0,0,50,2.65667,792.083,112.4446977,112.926,15.80156685,0,136.7595417,"Oui, en totalité",,100,Non,,15,400,50,50,,,,500,,,,
55,777,17499,17694,0,107,47,166,320,0,84,50,181,315,Non,"Oui, un agent de votre [Q1Voustes]",Semestrielle/trimestrielle,Moins de 50%,Ingénieur (cadre A),Direction des services techniques,,Pas réalisé jusqu'à présent,Réalisé en partie seulement,Réalisé en partie seulement,Réalisé en partie seulement,Réalisé en partie seulement,Pas réalisé jusqu'à présent,Réalisé en partie seulement,,Réalisé pour l'essentiel,Réalisé pour l'essentiel,Réalisé pour l'essentiel,Réalisé en partie seulement,Pas réalisé jusqu'à présent,Réalisé pour l'essentiel,Réalisé en partie seulement,Non,Oui,Oui,Oui,Oui,Non,Oui,,Non,Oui,Oui,Oui,Oui,Oui,Oui,Non,,,55,50,0,0,130.3,7,0,0,0,0,0,0,0,0,382,76.8,0,0,180.8,314.6,"Oui, en partie",349.9,91,Non,,,,,,,,,,,,,
56,684,26350000,28250000,0,37429.7,0,140584.5,178014.2,0,48269.4,0,160591.9,208861.3,Non,"Oui, un agent de votre [Q1Voustes]",Semestrielle/trimestrielle,100%,Technicien (cadre B),Autre,Service developpement durable,,,,,,,Réalisé en partie seulement,Réalisé en partie seulement,,Réalisé en partie seulement,Réalisé en partie seulement,Réalisé en partie seulement,,Réalisé en partie seulement,,,,,,,,Oui,Oui,,Oui,Oui,Oui,,,Oui,Non,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,34,156,20,140,194,"Oui, en totalité",,100,,,,,,,,,,0,60,0,,0
57,2513,2194858.3,2261520.4,0,2023.2,0,5223.4,7246.6,0,0,0,0,0,Non,Non,,,,,,Pas réalisé jusqu'à présent,Pas réalisé jusqu'à présent,Pas réalisé jusqu'à présent,Pas réalisé jusqu'à présent,Pas réalisé jusqu'à présent,Pas réalisé jusqu'à présent,Pas réalisé jusqu'à présent,Réalisé en partie seulement,Pas réalisé jusqu'à présent,Pas réalisé jusqu'à présent,Pas réalisé jusqu'à présent,Pas réalisé jusqu'à présent,Pas réalisé jusqu'à présent,Pas réalisé jusqu'à présent,Pas réalisé jusqu'à présent,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
